Slot,Count
0,1045
1,973
2,970
3,977
4,1049
5,1032
6,996
7,990
8,966
9,999
10,975
11,1012
12,1008
13,1055
14,1022
15,965
16,998
17,1001
18,1000
19,1040
20,976
21,1029
22,1027
23,959
24,996
25,997
26,1000
27,972
28,1000
29,1056
30,961
31,993
32,997
33,995
34,987
35,1019
36,942
37,1060
38,1026
39,998
40,989
41,939
42,988
43,965
44,981
45,951
46,1016
47,1017
48,1021
49,1024
50,1047
51,994
52,972
53,949
54,1035
55,994
56,989
57,1017
58,943
59,1010
60,1024
61,990
62,994
63,955
64,991
65,929
66,1001
67,975
68,1001
69,987
70,977
71,985
72,1019
73,1046
74,981
75,960
76,1067
77,1028
78,1008
79,1031
80,1037
81,1032
82,994
83,1023
84,1040
85,1013
86,975
87,981
88,912
89,1005
90,1015
91,1002
92,979
93,983
94,1022
95,997
96,972
97,992
98,984
99,1032
100,1020
101,988
102,1032
103,960
104,966
105,1054
106,1012
107,961
108,968
109,1039
110,1066
111,972
112,1007
113,991
114,1020
115,1016
116,977
117,1016
118,1009
119,962
120,1010
121,1030
122,1036
123,1011
124,990
125,1033
126,1030
127,1011
128,1009
129,1070
130,1034
131,944
132,1008
133,977
134,962
135,925
136,1065
137,984
138,962
139,994
140,990
141,1040
142,1012
143,988
144,1052
145,963
146,1002
147,991
148,973
149,1012
150,972
151,1004
152,950
153,1060
154,972
155,973
156,1030
157,1063
158,1029
159,987
160,978
161,1002
162,976
163,971
164,1056
165,1032
166,981
167,994
168,955
169,975
170,960
171,1039
172,991
173,1046
174,968
175,966
176,1038
177,1025
178,1003
179,990
180,1042
181,1041
182,992
183,1001
184,992
185,1000
186,1012
187,988
188,1048
189,1002
190,1030
191,1003
192,977
193,1038
194,950
195,1013
196,1084
197,959
198,955
199,993
200,1011
201,991
202,1040
203,1004
204,1000
205,990
206,1040
207,994
208,988
209,983
210,1008
211,974
212,993
213,988
214,933
215,1001
216,986
217,1042
218,1003
219,1060
220,1014
221,1032
222,958
223,968
224,958
225,1033
226,935
227,1007
228,972
229,967
230,1014
231,991
232,1021
233,1011
234,988
235,948
236,1027
237,953
238,1010
239,985
240,1020
241,989
242,975
243,1000
244,979
245,1040
246,1013
247,982
248,1020
249,1009
250,999
251,965
252,991
253,1007
254,997
255,984
256,1007
257,977
258,1032
259,1015
260,1030
261,950
262,1040
263,955
264,1089
265,975
266,997
267,968
268,1072
269,1052
270,1002
271,1004
272,983
273,993
274,997
275,991
276,979
277,998
278,992
279,1003
280,1006
281,1031
282,975
283,961
284,983
285,1016
286,998
287,941
288,995
289,979
290,985
291,1051
292,999
293,1010
294,1001
295,976
296,1027
297,1026
298,961
299,996
300,1047
301,960
302,944
303,993
304,982
305,1059
306,984
307,1026
308,977
309,996
310,1020
311,986
312,975
313,994
314,1022
315,943
316,1013
317,1059
318,1042
319,1024
320,981
321,1003
322,956
323,1017
324,1032
325,995
326,1014
327,993
328,995
329,960
330,1017
331,996
332,945
333,1036
334,986
335,983
336,968
337,974
338,986
339,1003
340,985
341,999
342,1026
343,1038
344,955
345,1045
346,999
347,1095
348,970
349,998
350,1072
351,984
352,1005
353,1043
354,1043
355,999
356,1008
357,1041
358,1031
359,974
360,978
361,985
362,992
363,1005
364,1015
365,1030
366,969
367,978
368,1053
369,980
370,977
371,992
372,1052
373,1057
374,984
375,1020
376,968
377,931
378,966
379,1009
380,1003
381,976
382,1013
383,946
384,984
385,1023
386,987
387,1019
388,962
389,1048
390,971
391,1003
392,997
393,1038
394,972
395,914
396,1005
397,1046
398,1033
399,989
400,966
401,1020
402,1068
403,956
404,1049
405,1018
406,992
407,1009
408,1049
409,984
410,984
411,1060
412,983
413,1017
414,990
415,979
416,999
417,1022
418,1016
419,1053
420,1031
421,1010
422,982
423,1008
424,989
425,1046
426,1021
427,943
428,928
429,985
430,992
431,1001
432,988
433,1020
434,963
435,1056
436,973
437,1028
438,992
439,993
440,940
441,950
442,966
443,1018
444,999
445,1001
446,1053
447,1012
448,1053
449,1025
450,1029
451,984
452,991
453,977
454,1029
455,1034
456,964
457,988
458,958
459,963
460,1068
461,999
462,986
463,1000
464,1017
465,977
466,983
467,983
468,1067
469,1079
470,1005
471,969
472,1001
473,970
474,1038
475,958
476,967
477,1026
478,978
479,975
480,978
481,1032
482,1024
483,970
484,940
485,1042
486,948
487,1015
488,967
489,988
490,988
491,1006
492,991
493,997
494,944
495,1031
496,983
497,1004
498,983
499,1028
500,1002
501,989
502,1024
503,955
504,936
505,1023
506,988
507,1004
508,1042
509,1015
510,980
511,1103
512,981
513,929
514,980
515,992
516,932
517,1015
518,1024
519,992
520,999
521,1018
522,976
523,1034
524,952
525,940
526,1034
527,1007
528,982
529,988
530,972
531,1042
532,984
533,1004
534,947
535,1020
536,931
537,998
538,1022
539,987
540,994
541,1024
542,1028
543,954
544,993
545,992
546,944
547,968
548,1021
549,1004
550,1051
551,1025
552,1000
553,1028
554,995
555,988
556,1019
557,992
558,1000
559,956
560,1042
561,1029
562,1011
563,972
564,972
565,1028
566,998
567,980
568,1032
569,1027
570,989
571,982
572,1004
573,1070
574,989
575,968
576,1067
577,1068
578,1019
579,1054
580,1023
581,1107
582,972
583,1002
584,988
585,974
586,1038
587,1001
588,956
589,948
590,1013
591,1033
592,1004
593,970
594,961
595,1021
596,1009
597,984
598,997
599,945
600,1010
601,1023
602,1000
603,1037
604,999
605,989
606,977
607,998
608,1037
609,970
610,1037
