Slot,Count
798,1
799,2
800,2
801,0
802,0
803,0
804,1
805,0
806,0
807,0
808,2
809,2
810,1
811,2
812,1
813,2
814,0
815,0
816,1
817,1
818,1
819,2
820,1
821,0
822,2
823,3
824,1
825,1
826,0
827,1
828,2
829,1
830,3
831,0
832,1
833,2
834,1
835,1
836,0
837,0
838,0
839,0
840,1
841,2
842,1
843,0
844,1
845,1
846,1
847,0
848,1
849,1
850,0
851,2
852,2
853,0
854,2
855,1
856,0
857,3
858,1
859,1
860,0
861,1
862,0
863,0
864,0
865,0
866,2
867,0
868,1
869,2
870,1
871,0
872,1
873,0
874,0
875,3
876,2
877,2
878,1
879,2
880,0
881,0
882,0
883,1
884,3
885,2
886,0
887,2
888,1
889,2
890,1
891,0
892,3
893,1
894,0
895,1
896,0
897,2
898,1
899,1
900,0
901,3
902,0
903,1
904,2
905,1
906,0
907,2
908,1
909,1
910,0
911,1
912,0
913,0
914,0
915,2
916,1
917,2
918,0
919,1
920,2
921,2
922,1
923,0
924,1
925,5
926,1
927,0
928,0
929,0
930,1
931,0
932,1
933,1
934,0
935,0
936,0
937,0
938,0
939,1
940,1
941,2
942,0
943,0
944,1
945,0
946,0
947,0
948,0
949,1
950,0
951,0
952,1
953,0
954,1
955,0
956,1
957,1
958,0
959,1
960,1
961,0
962,1
963,4
964,3
965,0
966,0
967,1
968,2
969,3
970,2
971,1
972,0
973,1
974,0
975,1
976,1
977,3
978,1
979,1
980,1
981,0
982,0
983,0
984,2
985,1
986,2
987,2
988,2
989,1
990,0
991,1
992,1
993,1
994,2
995,1
996,0
997,2
998,3
999,0
