Slot,Count
0,105
1,91
2,87
3,95
4,93
5,118
6,91
7,81
8,96
9,106
10,97
11,109
12,98
13,92
14,94
15,102
16,105
17,110
18,116
19,90
20,114
21,90
22,95
23,107
24,118
25,102
26,111
27,91
28,90
29,89
30,86
31,96
32,89
33,105
34,112
35,101
36,85
37,108
38,110
39,102
40,105
41,86
42,91
43,106
44,108
45,118
46,92
47,104
48,109
49,112
50,87
51,95
52,120
53,100
54,97
55,91
56,84
57,96
58,101
59,84
60,106
61,102
62,95
63,111
64,104
65,100
66,111
67,90
68,93
69,97
70,101
71,117
72,105
73,93
74,105
75,95
76,86
77,107
78,97
79,97
80,88
81,84
82,109
83,86
84,97
85,97
86,78
87,108
88,91
89,110
90,109
91,83
92,105
93,97
94,112
95,102
96,113
97,82
98,114
99,109
100,100
101,102
102,105
103,95
104,79
105,97
106,98
107,86
108,100
109,102
110,97
111,107
112,96
113,99
114,115
115,106
116,97
117,115
118,88
119,86
120,105
121,94
122,117
123,118
124,98
125,82
126,101
127,102
128,112
129,93
130,85
131,101
132,94
133,122
134,86
135,109
136,105
137,95
138,101
139,107
140,95
141,102
142,86
143,98
144,104
145,114
146,103
147,83
148,97
149,98
150,114
151,115
152,113
153,98
154,111
155,100
156,111
157,111
158,116
159,104
160,88
161,101
162,103
163,97
164,114
165,88
166,96
167,107
168,99
169,109
170,112
171,108
172,104
173,81
174,118
175,90
176,112
177,87
178,104
179,89
180,104
181,111
182,104
183,108
184,105
185,92
186,83
187,106
188,100
189,85
190,97
191,99
192,103
193,137
194,115
195,92
196,97
197,112
198,101
199,104
200,112
201,117
202,93
203,113
204,104
205,96
206,106
207,85
208,93
209,97
210,77
211,87
212,91
213,104
214,113
215,102
216,98
217,110
218,115
219,94
220,101
221,112
222,96
223,101
224,92
225,112
226,98
227,89
228,117
229,119
230,83
231,104
232,107
233,93
234,111
235,91
236,102
237,107
238,98
239,80
240,88
241,98
242,100
243,102
244,103
245,112
246,97
247,89
248,103
249,84
250,102
251,115
252,109
253,106
254,117
255,85
256,96
257,107
258,106
259,103
260,109
261,98
262,109
263,115
264,81
265,97
266,99
267,95
268,113
269,93
270,99
271,102
272,98
273,101
274,87
275,96
276,101
277,120
278,108
279,90
280,105
281,86
282,90
283,105
284,90
285,90
286,104
287,73
288,103
289,106
290,110
291,95
292,118
293,103
294,101
295,101
296,117
297,94
298,91
299,107
300,90
301,103
302,125
303,113
304,121
305,93
306,95
307,94
308,97
309,94
310,106
311,101
312,84
313,100
314,100
315,102
316,119
317,80
318,91
319,94
320,98
321,98
322,87
323,90
324,104
325,98
326,90
327,98
328,95
329,113
330,86
331,108
332,118
333,94
334,94
335,123
336,103
337,100
338,112
339,81
340,117
341,78
342,99
343,116
344,94
345,105
346,94
347,91
348,102
349,94
350,105
351,95
352,91
353,104
354,95
355,94
356,97
357,102
358,87
359,89
360,93
361,103
362,91
363,113
364,89
365,126
366,102
367,104
368,112
369,105
370,84
371,104
372,120
373,94
374,91
375,94
376,91
377,110
378,108
379,86
380,93
381,108
382,105
383,90
384,96
385,100
386,101
387,119
388,106
389,95
390,95
391,98
392,94
393,92
394,106
395,96
396,84
397,102
398,113
399,117
400,95
401,113
402,105
403,105
404,96
405,93
406,94
407,90
408,98
409,101
410,100
411,89
412,88
413,90
414,91
415,105
416,111
417,112
418,94
419,106
420,109
421,94
422,102
423,86
424,93
425,86
426,103
427,111
428,110
429,95
430,108
431,111
432,102
433,93
434,103
435,109
436,94
437,106
438,87
439,77
440,103
441,107
442,92
443,88
444,91
445,87
446,106
447,104
448,101
449,97
450,107
451,96
452,97
453,104
454,117
455,90
456,98
457,113
458,103
459,95
460,91
461,122
462,109
463,109
464,112
465,80
466,86
467,99
468,108
469,100
470,103
471,101
472,97
473,104
474,107
475,115
476,112
477,111
478,95
479,98
480,96
481,100
482,100
483,86
484,84
485,114
486,102
487,95
488,105
489,101
490,112
491,97
492,108
493,106
494,103
495,112
496,102
497,111
498,85
499,81
500,92
501,98
502,109
503,92
504,110
505,119
506,86
507,92
508,96
509,92
510,113
511,101
512,105
513,94
514,102
515,112
516,103
517,85
518,105
519,94
520,95
521,93
522,94
523,104
524,93
525,98
526,89
527,87
528,131
529,92
530,105
531,95
532,91
533,105
534,101
535,82
536,94
537,98
538,112
539,98
540,98
541,87
542,108
543,100
544,98
545,104
546,110
547,104
548,94
549,109
550,111
551,109
552,91
553,101
554,102
555,95
556,115
557,96
558,94
559,85
560,101
561,104
562,101
563,95
564,79
565,99
566,102
567,93
568,102
569,102
570,92
571,94
572,105
573,99
574,85
575,102
576,87
577,98
578,98
579,85
580,100
581,99
582,107
583,100
584,93
585,93
586,99
587,99
588,106
589,89
590,94
591,109
592,107
593,89
594,112
595,99
596,95
597,87
598,112
599,108
600,105
601,84
602,101
603,99
604,92
605,108
606,101
607,85
608,87
609,89
610,105
611,74
612,113
613,86
614,94
615,95
616,94
617,102
618,84
619,93
620,94
621,105
622,103
623,93
624,86
625,83
626,112
627,90
628,110
629,111
630,98
631,95
632,107
633,91
634,94
635,99
636,115
637,99
638,86
639,99
640,114
641,107
642,97
643,89
644,94
645,100
646,110
647,107
648,92
649,101
650,112
651,83
652,95
653,83
654,133
655,96
656,106
657,105
658,94
659,97
660,111
661,86
662,98
663,105
664,96
665,113
666,91
667,104
668,117
669,100
670,85
671,83
672,99
673,117
674,92
675,113
676,101
677,94
678,89
679,113
680,89
681,106
682,103
683,96
684,97
685,96
686,122
687,102
688,97
689,90
690,94
691,98
692,104
693,95
694,91
695,104
696,98
697,109
698,80
699,100
700,91
701,106
702,117
703,107
704,94
705,100
706,101
707,123
708,83
709,140
710,111
711,107
712,105
713,94
714,93
715,110
716,104
717,125
718,107
719,82
720,94
721,97
722,118
723,114
724,109
725,99
726,94
727,99
728,115
729,100
730,101
731,106
732,92
733,91
734,95
735,97
736,89
737,84
738,94
739,96
740,93
741,76
742,109
743,83
744,110
745,113
746,100
747,92
748,99
749,100
750,111
751,95
752,97
753,93
754,106
755,97
756,86
757,105
758,96
759,94
760,124
761,99
762,94
763,100
764,90
765,97
766,78
767,88
768,113
769,89
770,89
771,93
772,114
773,78
774,102
775,82
776,117
777,113
778,97
779,118
780,91
781,94
782,109
783,93
784,95
785,95
786,119
787,107
788,92
789,111
790,105
791,93
792,108
793,117
794,100
795,95
796,97
797,86
798,88
799,101
800,83
801,95
802,102
803,85
804,103
805,101
806,101
807,102
808,116
809,109
810,105
811,99
812,95
813,117
814,113
815,95
816,97
817,107
818,98
819,107
820,89
821,103
822,102
823,97
824,104
825,109
826,86
827,98
828,87
829,105
830,114
831,78
832,90
833,93
834,88
835,96
836,111
837,107
838,102
839,87
840,110
841,96
842,91
843,95
844,77
845,114
846,94
847,111
848,97
849,103
850,100
851,94
852,109
853,99
854,99
855,110
856,101
857,105
858,95
859,100
860,110
861,95
862,102
863,93
864,115
865,111
866,108
867,95
868,91
869,102
870,109
871,112
872,106
873,97
874,112
875,105
876,99
877,107
878,83
879,105
880,82
881,112
882,118
883,104
884,89
885,71
886,101
887,94
888,111
889,106
890,116
891,92
892,110
893,105
894,101
895,107
896,120
897,92
898,108
899,93
900,104
901,117
902,102
903,121
904,108
905,112
906,90
907,101
908,113
909,95
910,91
911,89
912,96
913,87
914,93
915,109
916,107
917,104
918,115
919,87
920,98
921,91
922,74
923,104
924,120
925,103
926,100
927,101
928,102
929,93
930,103
931,107
932,108
933,106
934,103
935,111
936,99
937,101
938,114
939,104
940,102
941,101
942,103
943,111
944,99
945,89
946,109
947,86
948,83
949,96
950,86
951,101
952,96
953,105
954,94
955,99
956,96
957,97
958,117
959,104
960,96
961,122
962,96
963,97
964,92
965,109
966,103
967,107
968,99
969,92
970,89
971,106
972,102
973,93
974,99
975,100
976,101
977,117
978,114
979,99
980,96
981,96
982,99
983,93
984,103
985,96
986,89
987,91
988,112
989,94
990,100
991,114
992,97
993,114
994,107
995,107
996,100
997,111
998,77
999,90
